generation,best_fitness,avg_fitness,diversity
0,498773,147778.61,600
1,516419,342840.435,300
2,664357,451482.745,300
3,664357,533579.5383333333,299
4,804454,579698.97,296
5,804454,673348.015,299
6,895363,717883.785,297
7,943310,774160.9666666667,296
8,1002274,820459.8066666666,297
9,1077799,870487.6533333333,296
10,1179103,931474.4866666667,299
11,1341090,1015580.9466666667,297
12,1357595,1132140.195,300
13,1431824,1190107.8883333334,300
14,1443834,1246523.16,299
15,1514227,1283398.82,299
16,1514227,1310964.9483333332,299
17,1545902,1342894.3,298
18,1545902,1357252.7,300
19,1574858,1377683.4666666666,297
20,1602842,1391111.0216666667,298
21,1644282,1410080.94,297
22,1644282,1440594.405,300
23,1757599,1452230.535,299
24,1757599,1524488.445,298
25,1838157,1549143.675,296
26,1838157,1600115.8466666667,300
27,1852355,1617707.4283333332,297
28,1852355,1639881.75,295
29,1852355,1634093.2233333334,298
30,1852355,1630432.3133333332,298
31,1943779,1640096.3966666667,293
32,1943779,1679592.065,297
33,1988757,1730841.04,296
34,1988757,1730335.3583333334,297
35,2032634,1748674.7566666666,298
36,2032634,1775022.57,297
37,2048030,1808062.58,297
38,2048030,1806693.4116666666,299
39,2089304,1806609.82,298
40,2089304,1831057.45,297
41,2089304,1846000.2216666667,296
42,2122722,1855737.2166666666,296
43,2122722,1869119.8266666667,298
44,2122722,1880661.895,295
45,2146655,1871868.855,297
46,2146655,1885137.93,297
47,2167930,1897883.3416666666,298
48,2167930,1916139.2333333334,295
49,2197639,1909368.9116666666,298
50,2197639,1929184.4716666667,298
51,2197639,1944421.6033333333,295
52,2197639,1937438.7216666667,298
53,2236726,1946171.2966666666,297
54,2236726,1971866.24,298
55,2236726,1986137.6966666668,298
56,2236726,1972999.0583333333,297
57,2236726,1970678.2766666666,297
58,2240808,1975852.9966666666,294
59,2240808,1966884.4516666667,298
60,2240808,1972094.2833333334,295
61,2250253,1977673.5683333334,295
62,2250253,1988307.125,296
63,2250253,1973725.5483333333,297
64,2250253,1988623.8116666668,297
65,2250253,1974885.9933333334,296
66,2250253,1986099.31,298
67,2250253,1981192.4533333334,299
68,2266678,1981848.6916666667,299
69,2266678,1982190.74,295
70,2266678,1992638.7383333333,295
71,2266678,1993505.0,297
72,2268010,1985534.4466666668,297
73,2268010,1999507.4666666666,297
74,2268010,2009279.945,298
75,2268010,1991203.4683333333,295
76,2268010,2015458.0116666667,295
77,2268010,2009118.91,294
78,2268010,2006424.9116666666,292
79,2274344,1988683.1466666667,294
80,2274344,2011627.8483333334,299
81,2274344,2010960.26,296
82,2274344,2014790.315,295
83,2274344,2004105.8916666666,298
84,2274344,2010717.7866666666,298
85,2274344,2006993.8033333332,296
86,2274344,2010279.25,295
87,2274344,2016614.6383333334,296
88,2274344,2012439.765,297
89,2274344,2018323.1616666666,297
90,2274344,2021284.8716666666,299
91,2274344,2012875.5816666668,299
92,2279796,2017106.6533333333,297
93,2279796,2024100.46,296
94,2279796,2018591.87,296
95,2279796,2021849.345,300
96,2279796,2011622.8716666666,296
97,2279796,2011507.2866666666,297
98,2302396,2008355.56,297
99,2302396,2018393.275,295
100,2302396,2030757.6383333334,297
101,2302396,2036317.7583333333,297
102,2303301,2033658.6016666666,295
103,2303301,2034181.61,299
104,2303301,2049814.51,288
105,2303301,2043484.0916666666,296
106,2303301,2042160.7683333333,299
107,2304606,2048669.3433333333,297
