generation,best_fitness,avg_fitness,diversity
0,544030.0,199254.94333333333,600
1,544030.0,395448.1666666667,300
2,756342.0,495148.0233333333,299
3,756342.0,613826.2,300
4,942959.0,689523.6883333334,295
5,964670.0,792587.2133333334,300
6,1133898.0,868701.6716666666,299
7,1133898.0,970013.2283333334,300
8,1295334.0,1026005.665,297
9,1295334.0,1119578.0916666666,300
10,1423133.0,1167878.2216666667,297
11,1423133.0,1249361.5966666667,300
12,1464295.0,1288420.1333333333,297
13,1566844.0,1312894.715,300
14,1566844.0,1376298.3833333333,300
15,1658340.0,1415017.1633333333,300
16,1658340.0,1459183.4966666666,299
17,1695641.0,1489677.725,299
18,1735321.0,1512850.2433333334,299
19,1735321.0,1548685.9433333334,300
20,1792003.0,1571591.7433333334,297
21,1900392.0,1588071.77,300
22,1900392.0,1669352.5,300
23,1953690.0,1717858.2866666666,298
24,1984270.0,1742027.6683333332,300
25,1984270.0,1779105.8516666666,300
26,1986662.0,1785053.6166666667,299
27,2045540.0,1790392.2733333334,300
28,2045540.0,1815671.7083333333,300
29,2081161.0,1835921.96,299
30,2107729.0,1862711.3266666667,300
31,2126254.0,1898370.9916666667,300
32,2183201.0,1909376.0133333334,300
33,2211332.0,1940183.2466666666,300
34,2211332.0,1978402.355,299
35,2211332.0,1968733.67,299
36,2230271.0,1992357.6233333333,297
37,2305597.0,2002868.6266666667,296
38,2305597.0,2053566.0966666667,300
39,2305636.0,2076911.735,298
40,2349002.0,2069856.15,300
41,2361067.0,2108697.5733333332,298
42,2361067.0,2123652.348333333,298
43,2425139.0,2134365.091666667,298
44,2425139.0,2155708.973333333,300
45,2452040.0,2172355.82,299
46,2471889.0,2192672.4516666667,300
47,2471889.0,2220145.0166666666,299
48,2471893.0,2236754.65,300
49,2558363.0,2224788.9066666667,299
50,2558363.0,2269675.816666667,300
51,2580029.0,2297368.325,299
52,2580029.0,2328435.8333333335,296
53,2580029.0,2316061.275,300
54,2581623.0,2324204.9433333334,296
55,2581623.0,2317052.0283333333,300
56,2581623.0,2320331.785,299
57,2608605.0,2334488.35,297
58,2608605.0,2341206.296666667,300
59,2624065.0,2362040.8966666665,297
60,2624065.0,2353721.165,300
61,2720145.0,2368270.8,298
62,2720145.0,2413158.9433333334,296
63,2735703.0,2446730.6633333336,296
64,2815168.0,2451507.013333333,299
65,2815168.0,2497416.223333333,297
66,2815168.0,2535150.5166666666,300
67,2815168.0,2536207.1266666665,299
68,2861238.0,2527055.8733333335,297
69,2861238.0,2559734.11,298
70,2908628.0,2556785.375,298
71,2908628.0,2600563.0116666667,297
72,2908628.0,2612056.125,299
73,2911433.0,2618512.0683333334,300
74,2911433.0,2623469.598333333,297
75,2911433.0,2618135.97,298
76,2914238.0,2614298.9516666667,297
77,2914238.0,2623498.1866666665,296
78,2914238.0,2619631.0083333333,298
79,2914238.0,2623010.575,299
80,2970497.0,2623191.155,295
81,2970497.0,2646066.705,299
82,2970497.0,2660470.915,300
83,2970497.0,2666666.96,300
84,2970497.0,2670548.6566666667,299
85,2970497.0,2666431.265,297
86,2970497.0,2659223.0483333333,299
87,3026347.0,2674925.5016666665,300
88,3026347.0,2699828.276666667,300
89,3026347.0,2709260.7733333334,299
90,3026347.0,2702498.7716666665,300
91,3026347.0,2720636.46,297
92,3026347.0,2711311.3016666668,298
93,3026347.0,2714801.1766666668,298
94,3037842.0,2723420.0933333333,294
95,3037842.0,2721837.861666667,298
96,3069093.0,2730514.3316666665,297
97,3082469.0,2750475.265,300
98,3088505.0,2779312.433333333,300
99,3088505.0,2779977.2416666667,300
100,3095701.0,2768759.946666667,298
101,3095701.0,2773516.055,298
102,3095701.0,2794397.1166666667,297
103,3101264.0,2785281.0733333332,296
104,3101264.0,2779443.3666666667,299
105,3101264.0,2792738.355,297
106,3101264.0,2798087.19,297
107,3101264.0,2795273.151666667,299
108,3120685.0,2775334.4816666665,297
109,3120685.0,2792277.1433333335,300
110,3120685.0,2819288.138333333,298
111,3120685.0,2810040.6466666665,299
112,3132545.0,2814701.1683333335,297
113,3132545.0,2809907.86,300
114,3145719.0,2817809.0116666667,299
115,3145719.0,2822873.5033333334,296
116,3145719.0,2861044.946666667,297
117,3145719.0,2839052.7,299
118,3145719.0,2829230.1,299
119,3145719.0,2821084.191666667,296
120,3145719.0,2821560.066666667,298
121,3145719.0,2831228.2333333334,296
122,3145719.0,2817289.5866666664,298
123,3145719.0,2822597.38,298
124,3145719.0,2831264.138333333,298
125,3145719.0,2832264.7266666666,297
126,3145719.0,2841002.0516666668,297
127,3145719.0,2840269.2916666665,296
128,3145719.0,2831089.2783333333,297
129,3145719.0,2841667.94,297
130,3145719.0,2826271.695,297
131,3145719.0,2824586.1166666667,295
132,3145719.0,2836216.7783333333,296
133,3145719.0,2830205.6216666666,298
134,3145719.0,2834359.1366666667,298
135,3145719.0,2840061.6566666667,297
136,3145719.0,2834272.07,299
137,3145719.0,2833195.3066666666,297
138,3145719.0,2815984.723333333,297
139,3145719.0,2820995.428333333,297
140,3145719.0,2831471.5166666666,298
141,3145719.0,2823629.151666667,299
142,3145719.0,2826658.723333333,299
143,3145719.0,2825013.54,298
144,3147929.0,2830664.4916666667,298
145,3147929.0,2825878.04,298
146,3147929.0,2824247.4766666666,300
147,3147929.0,2833128.7266666666,297
148,3149234.0,2841196.15,300
149,3183896.0,2839108.4983333335,300
150,3183896.0,2852042.845,300
151,3183896.0,2853276.4566666665,297
152,3183896.0,2860295.705,299
153,3183896.0,2850884.0866666664,299
154,3183896.0,2863655.695,298
155,3204716.0,2873912.9366666665,296
156,3204716.0,2890741.1416666666,297
157,3204716.0,2876897.385,300
158,3204716.0,2883835.703333333,297
159,3204716.0,2888608.9716666667,295
160,3204716.0,2881441.425,300
161,3204716.0,2883423.756666667,297
162,3246849.0,2907006.8366666664,300
163,3246849.0,2908017.325,299
164,3246849.0,2918701.058333333,300
165,3251861.0,2935195.485,299
166,3251861.0,2925563.446666667,294
167,3251861.0,2919080.94,296
168,3251861.0,2927105.295,300
169,3251861.0,2928670.9516666667,300
170,3251861.0,2925409.1333333333,299
