generation,best_fitness,avg_fitness,diversity
0,0.21428571428571427,0.03428571428571428,400
1,0.21428571428571427,0.13732142857142857,200
2,0.2857142857142857,0.199375,198
3,0.2857142857142857,0.24410714285714286,199
4,0.35714285714285715,0.2733928571428571,196
5,0.35714285714285715,0.3117857142857143,198
6,0.42857142857142855,0.34160714285714283,195
7,0.4642857142857143,0.3794642857142857,197
8,0.5357142857142857,0.4242857142857143,199
9,0.5357142857142857,0.47714285714285715,196
10,0.6071428571428571,0.5076785714285714,196
11,0.6071428571428571,0.5440178571428571,199
12,0.6428571428571429,0.5741964285714285,196
13,0.6428571428571429,0.5941964285714286,194
14,0.7142857142857143,0.6095535714285715,195
15,0.7142857142857143,0.6470535714285713,198
16,0.75,0.6713392857142857,195
17,0.75,0.6979464285714286,190
18,0.7857142857142857,0.7132142857142857,190
19,0.7857142857142857,0.7283928571428571,195
20,0.8214285714285714,0.7458928571428571,195
21,0.8214285714285714,0.76625,197
22,0.8214285714285714,0.7764285714285714,191
23,0.8571428571428571,0.7809821428571427,194
24,0.8571428571428571,0.7996428571428571,190
25,0.8928571428571429,0.81125,192
26,0.8928571428571429,0.8336607142857143,194
27,0.8928571428571429,0.8421428571428572,197
28,0.9285714285714286,0.8483928571428572,197
29,0.9285714285714286,0.863125,199
30,0.9285714285714286,0.8829464285714286,195
31,0.9285714285714286,0.8801785714285714,194
32,0.9642857142857143,0.8817857142857143,195
33,0.9642857142857143,0.8982142857142857,197
34,0.9642857142857143,0.9152678571428571,195
35,0.9642857142857143,0.9151785714285714,191
36,0.9642857142857143,0.916875,186
37,0.9642857142857143,0.9145535714285714,193
38,0.9642857142857143,0.9122321428571429,195
39,0.9642857142857143,0.9152678571428571,186
40,0.9642857142857143,0.9138392857142857,198
41,0.9642857142857143,0.9114285714285714,196
42,1.0,0.9177678571428571,190
