generation,best_fitness,avg_fitness,diversity
0,731363.0,205449.71,600
1,731363.0,492707.64,300
2,891888.0,655112.3083333333,300
3,933679.0,764995.555,300
4,1035126.0,832701.8566666667,299
5,1124898.0,909857.8383333334,300
6,1124898.0,987027.8083333333,300
7,1244837.0,1024322.8683333333,298
8,1349766.0,1098179.1683333332,300
9,1368924.0,1184459.7166666666,300
10,1429369.0,1232416.1766666668,300
11,1499402.0,1269154.0833333333,298
12,1515101.0,1332250.76,299
13,1569565.0,1357383.6866666668,299
14,1644238.0,1398905.69,299
15,1664235.0,1462868.955,297
16,1766547.0,1480740.6233333333,299
17,1806193.0,1545605.4133333333,299
18,1872820.0,1600872.7733333334,300
19,1927190.0,1651471.6383333334,300
20,2086196.0,1708358.1616666666,300
21,2086196.0,1810861.6816666666,300
22,2112985.0,1874930.155,299
23,2112985.0,1889866.0033333334,298
24,2197006.0,1892338.6883333332,300
25,2222602.0,1952177.9316666666,300
26,2300797.0,1976202.8583333334,300
27,2386743.0,2045309.4733333334,298
28,2386743.0,2107099.6616666666,300
29,2435772.0,2142663.545,300
30,2457719.0,2162024.8433333333,300
31,2457719.0,2198562.7883333336,299
32,2601838.0,2215594.995,299
33,2601838.0,2289465.6,298
34,2604155.0,2326703.236666667,300
35,2613216.0,2328341.4183333335,300
36,2633480.0,2346872.638333333,298
37,2633480.0,2352102.705,300
38,2640351.0,2364253.06,298
39,2669064.0,2370626.2933333335,300
40,2669064.0,2370018.006666667,300
41,2669064.0,2399786.9516666667,299
42,2669064.0,2383136.6333333333,299
43,2669064.0,2398745.07,299
44,2707319.0,2399637.566666667,297
45,2707319.0,2417675.3466666667,297
46,2725186.0,2437243.1233333335,297
47,2725186.0,2440211.8833333333,299
48,2767041.0,2446003.203333333,300
49,2767041.0,2467590.3233333332,299
50,2767041.0,2482881.74,298
51,2767041.0,2498727.9316666666,298
52,2767041.0,2491261.6,300
53,2786662.0,2480156.013333333,297
54,2786662.0,2494051.6133333333,300
55,2786662.0,2506816.1866666665,296
56,2786662.0,2516055.805,296
57,2786662.0,2497870.2916666665,299
58,2786662.0,2497314.6533333333,300
59,2791674.0,2500891.401666667,300
60,2791674.0,2512204.0216666665,297
61,2824447.0,2502872.5816666665,300
62,2824447.0,2525048.655,299
63,2824447.0,2533020.59,299
64,2824447.0,2540786.743333333,299
65,2824447.0,2526236.946666667,300
66,2824447.0,2541812.1266666665,298
67,2831789.0,2539880.1616666666,299
68,2831789.0,2540714.1366666667,300
69,2831789.0,2540813.0083333333,298
70,2831789.0,2536780.1066666665,298
71,2831789.0,2545620.8183333334,300
72,2833999.0,2549083.975,298
73,2833999.0,2554484.0416666665,300
74,2833999.0,2540295.9716666667,298
75,2833999.0,2559317.165,298
76,2833999.0,2545820.6633333336,297
77,2833999.0,2541861.263333333,299
78,2833999.0,2539558.5566666666,298
79,2833999.0,2536929.07,300
80,2833999.0,2552435.4516666667,298
81,2833999.0,2531195.3266666667,296
82,2856743.0,2543011.901666667,300
83,2856743.0,2548844.6866666665,300
84,2856743.0,2570248.7066666665,298
85,2856743.0,2548351.8266666667,298
86,2856743.0,2561038.2683333335,300
87,2856743.0,2571742.868333333,298
88,2856743.0,2568621.611666667,297
89,2869945.0,2574215.2016666667,299
90,2895032.0,2573382.99,300
91,2895032.0,2586938.7333333334,300
92,2905803.0,2600444.985,298
93,2905803.0,2608543.7016666667,298
94,2905803.0,2610970.433333333,299
95,2905803.0,2600978.973333333,297
96,2905803.0,2601139.765,300
97,2905803.0,2604149.9233333333,298
98,2916771.0,2618103.5616666665,293
99,2916771.0,2621476.941666667,298
100,2916771.0,2618548.783333333,296
101,2916771.0,2631178.4883333333,297
102,2916771.0,2634723.78,299
103,2922672.0,2623826.56,300
104,2922672.0,2621326.223333333,300
105,2922672.0,2617529.5016666665,297
106,2922672.0,2623538.8466666667,299
107,2923977.0,2634524.3183333334,298
108,2923977.0,2630029.05,299
109,2930268.0,2650048.6466666665,299
110,2930268.0,2626329.0933333333,299
111,2930268.0,2633553.0833333335,300
112,2979000.0,2635468.131666667,298
113,2979000.0,2657090.723333333,298
114,2979000.0,2682650.763333333,300
115,2979000.0,2680336.77,299
116,3001504.0,2686987.265,295
117,3001504.0,2679721.8133333335,298
118,3001504.0,2675974.2983333333,299
119,3001504.0,2704453.905,300
120,3001504.0,2700660.5866666664,299
121,3001504.0,2706762.4783333335,296
122,3001504.0,2697068.8533333335,299
123,3001504.0,2712315.16,298
124,3001504.0,2707673.638333333,299
125,3001504.0,2698162.5566666666,299
126,3001504.0,2698572.955,299
127,3006739.0,2715941.2816666667,299
128,3006739.0,2706930.4716666667,299
129,3008949.0,2708453.4133333336,298
130,3008949.0,2699116.3383333334,298
131,3008949.0,2714872.7383333333,298
132,3008949.0,2708641.816666667,300
133,3008949.0,2712778.308333333,298
134,3008949.0,2698397.7616666667,300
135,3008949.0,2717805.85,298
136,3008949.0,2725099.2583333333,299
137,3008949.0,2699331.465,300
138,3008949.0,2705972.9883333333,299
139,3008949.0,2717059.405,300
140,3008949.0,2713308.1083333334,300
141,3015820.0,2705411.4966666666,300
142,3015820.0,2702402.4566666665,300
143,3015820.0,2709924.5,298
144,3015820.0,2709455.09,299
145,3018495.0,2718506.8066666666,299
146,3018495.0,2723458.2933333335,299
147,3065984.0,2723653.455,298
148,3065984.0,2747301.5966666667,298
149,3065984.0,2766367.3666666667,298
150,3065984.0,2756640.27,299
151,3065984.0,2758728.9,299
152,3065984.0,2752654.06,298
153,3065984.0,2758239.225,297
154,3065984.0,2761628.16,299
155,3065984.0,2764646.805,299
156,3065984.0,2753747.0683333334,298
157,3065984.0,2767843.2883333336,298
158,3065984.0,2763762.4033333333,299
159,3065984.0,2772941.6733333333,298
160,3065984.0,2751270.395,298
161,3065984.0,2753022.14,300
162,3065984.0,2768226.505,300
163,3065984.0,2779124.928333333,299
164,3065984.0,2750542.37,297
165,3065984.0,2765791.216666667,296
166,3065984.0,2764606.7733333334,298
167,3065984.0,2762291.11,299
168,3065984.0,2752474.296666667,296
169,3068312.0,2760816.53,298
170,3068312.0,2764423.79,299
171,3068312.0,2757600.0766666667,298
172,3068312.0,2783010.4616666664,297
173,3104398.0,2772620.6633333336,297
174,3104398.0,2773364.635,299
175,3104398.0,2802634.53,298
176,3104398.0,2788143.4883333333,299
177,3104398.0,2795137.12,299
178,3104398.0,2801977.8183333334,298
179,3104398.0,2780637.638333333,299
180,3104398.0,2795500.1466666665,298
181,3104398.0,2801352.9383333335,297
182,3104398.0,2788368.935,298
183,3104398.0,2795787.635,299
184,3104398.0,2801626.3983333334,297
185,3104398.0,2785342.47,298
186,3104398.0,2803677.4316666666,298
187,3104398.0,2799088.783333333,299
188,3104398.0,2804873.595,296
189,3104398.0,2791126.9116666666,299
190,3104398.0,2804443.946666667,299
191,3104398.0,2804001.7066666665,298
192,3104398.0,2784861.45,297
193,3104398.0,2805603.8633333333,297
194,3104398.0,2788229.321666667,299
195,3104398.0,2802990.715,298
196,3115311.0,2803338.9833333334,299
197,3115311.0,2803596.9816666665,298
198,3115311.0,2808545.9783333335,297
199,3115311.0,2808750.2216666667,294
200,3115311.0,2807401.43,298
201,3115311.0,2804840.075,297
202,3115311.0,2820349.3633333333,298
203,3115311.0,2802321.3583333334,298
204,3121602.0,2815178.1416666666,300
205,3121602.0,2825308.5816666665,297
206,3121602.0,2809384.79,295
207,3121602.0,2801591.745,297
208,3121602.0,2807774.905,298
209,3121602.0,2813831.225,299
210,3121602.0,2811414.7083333335,297
211,3121602.0,2827061.881666667,300
212,3121602.0,2823420.1983333332,300
213,3121602.0,2827725.1483333334,295
214,3121602.0,2824093.1883333335,300
215,3121602.0,2821957.7983333333,297
216,3121602.0,2821435.98,299
217,3121602.0,2811945.8466666667,297
218,3121602.0,2805281.3866666667,297
219,3121602.0,2827393.6066666665,297
220,3121602.0,2817100.3516666666,299
221,3121602.0,2813974.76,297
222,3121602.0,2830555.435,298
223,3121602.0,2818350.3733333335,299
224,3121602.0,2815936.0766666667,296
225,3121602.0,2812706.6683333335,298
226,3121602.0,2812436.9716666667,297
227,3121602.0,2803521.8383333334,298
228,3121602.0,2795137.216666667,297
229,3121602.0,2827009.6333333333,298
230,3121602.0,2814148.685,298
231,3121602.0,2808683.0633333335,296
232,3121602.0,2801781.513333333,299
233,3121602.0,2809544.64,299
234,3121602.0,2807935.46,298
235,3121602.0,2815269.38,293
236,3121602.0,2804489.96,297
237,3121602.0,2815889.5366666666,297
238,3121602.0,2824939.9366666665,296
239,3121602.0,2818342.571666667,294
240,3122507.0,2817585.9433333334,299
241,3122507.0,2815570.941666667,295
242,3122507.0,2804974.915,296
243,3122507.0,2816610.4566666665,298
244,3122507.0,2822994.071666667,298
245,3122507.0,2816875.2883333336,297
246,3122507.0,2825302.3066666666,298
247,3122507.0,2817590.598333333,296
248,3122507.0,2834830.5866666664,299
249,3122507.0,2796765.435,296
250,3122507.0,2830512.243333333,300
251,3122507.0,2838212.2466666666,298
252,3129098.0,2827711.9316666666,299
253,3129098.0,2821314.8983333334,299
254,3129098.0,2836140.62,299
255,3173273.0,2820161.795,299
256,3173273.0,2849405.0633333335,300
257,3173273.0,2862585.1066666665,296
258,3173273.0,2863898.4233333333,295
259,3173273.0,2857253.5766666667,299
260,3192694.0,2869209.8866666667,300
261,3192694.0,2885112.7216666667,297
262,3192694.0,2893023.0933333333,296
263,3192694.0,2881353.805,295
264,3192694.0,2886158.55,297
265,3192694.0,2879398.0166666666,298
266,3192694.0,2894538.9316666666,297
267,3192694.0,2887375.2333333334,296
268,3192694.0,2881408.9433333334,296
269,3192694.0,2876354.591666667,297
270,3192694.0,2881299.5216666665,294
271,3192694.0,2870699.4433333334,300
272,3192694.0,2878187.46,295
273,3192694.0,2890972.6233333335,295
274,3192694.0,2885011.1533333333,298
275,3192694.0,2881690.8333333335,298
276,3192694.0,2875053.0483333333,299
277,3192694.0,2896725.2583333333,296
278,3192694.0,2886869.505,297
