gen,best_fit,avg_fit,diversity
0,43.7,22.360766666666667,300
1,63.95,29.11346666666667,300
2,93.23,36.588633333333334,300
3,110.13,43.60386666666667,300
4,182.48,58.09276666666667,300
5,256.15,73.00903333333333,300
6,280.99,96.90513333333334,300
7,410.32,129.67383333333333,300
8,614.17,175.97916666666666,300
9,754.95,230.65596666666664,300
10,864.39,297.6964333333333,300
11,1246.3,390.27070000000003,300
12,1532.16,529.0815,300
13,2052.42,730.4751,300
14,2700.86,959.8542,300
15,3476.86,1227.8200666666667,300
16,4007.37,1595.6847333333333,300
17,5838.82,2049.2995666666666,300
18,8246.98,2786.7493999999997,300
19,11681.46,3641.520266666667,300
20,14257.97,4639.1184,300
21,17119.67,6945.465200000001,300
22,25836.15,8618.329533333334,300
23,28720.88,10982.303933333334,300
